id,msrddt,areanm,factmanagenm,itemcode,itemname,measuredvalue,stackcode
9,2025-05-16 08:30:00,강원도,한국남동발전㈜ 영동에코발전본부,NOX,질소산화물,14.08,
5,2025-05-16 08:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,11.57,
1,2025-05-16 08:30:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,27.33,
39,2025-05-16 09:00:00,강원도,한국남동발전㈜ 영동에코발전본부,NOX,질소산화물,7.2,2
35,2025-05-16 09:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,11.74,3
36,2025-05-16 09:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.85,4
37,2025-05-16 09:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,9.14,5
38,2025-05-16 09:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,9.9,6
31,2025-05-16 09:00:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,17.07,7
34,2025-05-16 09:00:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,6.72,8
53,2025-05-16 09:30:00,전라남도,한국남동발전㈜ 여수발전본부,NOX,질소산화물,19.33,4
46,2025-05-16 09:30:00,강원도,한국남동발전㈜ 영동에코발전본부,NOX,질소산화물,2.82,2
42,2025-05-16 09:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.25,3
43,2025-05-16 09:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.57,4
44,2025-05-16 09:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,9.4,5
45,2025-05-16 09:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,9.83,6
40,2025-05-16 09:30:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,5.49,7
41,2025-05-16 09:30:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,7.71,8
47,2025-05-16 09:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,0.0,11
48,2025-05-16 09:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,0.0,12
49,2025-05-16 09:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,28.17,5
50,2025-05-16 09:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,28.72,6
51,2025-05-16 09:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,34.15,7
52,2025-05-16 09:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,33.17,8
67,2025-05-16 10:00:00,전라남도,한국남동발전㈜ 여수발전본부,NOX,질소산화물,20.65,4
60,2025-05-16 10:00:00,강원도,한국남동발전㈜ 영동에코발전본부,NOX,질소산화물,4.83,2
56,2025-05-16 10:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,11.94,3
57,2025-05-16 10:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.31,4
58,2025-05-16 10:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,9.13,5
59,2025-05-16 10:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,10.05,6
54,2025-05-16 10:00:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,5.21,7
55,2025-05-16 10:00:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,7.13,8
61,2025-05-16 10:00:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,0.14,11
62,2025-05-16 10:00:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,0.23,12
63,2025-05-16 10:00:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,25.33,5
64,2025-05-16 10:00:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,26.63,6
65,2025-05-16 10:00:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,33.01,7
66,2025-05-16 10:00:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,31.96,8
81,2025-05-16 10:30:00,전라남도,한국남동발전㈜ 여수발전본부,NOX,질소산화물,17.33,4
74,2025-05-16 10:30:00,강원도,한국남동발전㈜ 영동에코발전본부,NOX,질소산화물,3.11,2
70,2025-05-16 10:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.13,3
71,2025-05-16 10:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.7,4
72,2025-05-16 10:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,9.32,5
73,2025-05-16 10:30:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,10.1,6
68,2025-05-16 10:30:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,5.09,7
69,2025-05-16 10:30:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,7.19,8
75,2025-05-16 10:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,0.13,11
76,2025-05-16 10:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,0.24,12
77,2025-05-16 10:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,31.09,5
78,2025-05-16 10:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,30.86,6
79,2025-05-16 10:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,32.8,7
80,2025-05-16 10:30:00,경상남도,한국남동발전㈜삼천포발전본부,NOX,질소산화물,31.51,8
95,2025-05-16 11:00:00,전라남도,한국남동발전㈜ 여수발전본부,NOX,질소산화물,17.94,4
88,2025-05-16 11:00:00,강원도,한국남동발전㈜ 영동에코발전본부,NOX,질소산화물,0.84,2
84,2025-05-16 11:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,11.94,3
85,2025-05-16 11:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,12.52,4
86,2025-05-16 11:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,8.71,5
87,2025-05-16 11:00:00,인천광역시,한국남동발전㈜ 영흥발전본부,NOX,질소산화물,10.04,6
82,2025-05-16 11:00:00,경기도,한국남동발전㈜분당발전본부,NOX,질소산화물,5.09,7
