호기,일자,발전총량(MW),발전최대,발전최소,대기시간,가동시간,유량,산소,측정온도,온도,습도,풍속,NOX,가동시간_multi_hot
3,2023-01-01,19029557.0,849054.0,677121.0,0.0,24.0,209547.47,4.45,87.81,-2.39,37.06,3.14,12.3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-01,0.0,0.0,0.0,24.0,0.0,7.18,20.9,1.25,-2.39,37.06,3.14,97.49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-01,19365000.0,864155.0,747028.0,0.0,24.0,205956.66,5.86,93.1,-2.39,37.06,3.14,9.64,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-01,19569000.0,868226.0,746858.0,0.0,24.0,203659.54,4.73,91.33,-2.39,37.06,3.14,9.9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-02,18700305.0,857557.0,681625.0,0.0,24.0,204046.4,4.51,86.98,-4.25,54.38,2.27,12.43,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-02,0.0,0.0,0.0,24.0,0.0,7.98,20.91,0.0,-4.25,54.38,2.27,125.69,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-02,18943000.0,868745.0,720989.0,0.0,24.0,201151.58,5.83,91.59,-4.25,54.38,2.27,9.03,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-02,19097000.0,871724.0,723578.0,0.0,24.0,198617.59,4.78,90.14,-4.25,54.38,2.27,9.62,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-03,19451085.0,845729.0,708161.0,0.0,24.0,212330.89,4.4,87.71,-5.94,65.69,1.14,12.39,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-03,0.0,0.0,0.0,24.0,0.0,34.48,20.91,0.0,-5.94,65.69,1.14,84.09,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-03,19187000.0,815354.0,751058.0,0.0,24.0,204910.0,5.89,92.33,-5.94,65.69,1.14,9.68,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-03,19318000.0,825972.0,755041.0,0.0,24.0,200806.59,4.85,91.24,-5.94,65.69,1.14,10.03,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
